Key to the City,George Sidney,"Clark Gable, Loretta Young, Frank Morgan, Marilyn Maxwell",Romantic comedy,MGM
The Kid from Texas,Kurt Neumann,"Audie Murphy, Gale Storm",Western,Universal
Kill or Be Killed,Max Nosseck,"Lawrence Tierney, George Coulouris, Marissa O'Brien",Crime,Eagle-Lion
Kill the Umpire,Lloyd Bacon,"William Bendix, William Frawley",Comedy,Columbia
Killer Shark,Budd Boetticher,"Roddy McDowall, Laurette Luez",Adventure,Monogram[1]
The Killer That Stalked New York,Earl McEvoy,"Evelyn Keyes, Charles Korvin, William Bishop",Film noir,Columbia. Based on Cosmo article
Kim,Victor Saville,"Errol Flynn, Dean Stockwell",Adventure,MGM. Based on the novel
King of the Bullwhip,Ron Ormond,"Lash LaRue, Jack Holt, Anne Gwynne",Western,Realart
King Solomon's Mines,Compton Bennett,"Deborah Kerr, Stewart Granger",Adventure,MGM. Based on the 1885 novel
Kiss Tomorrow Goodbye,Gordon Douglas,"James Cagney, Barbara Payton",Drama,Warner Bros.
A Lady Without Passport,Joseph H. Lewis,"Hedy Lamarr, John Hodiak, James Craig",Film noir,MGM
Last of the Buccaneers,Lew Landers,"Paul Henreid, Mary Anderson",Adventure,Columbia
Law of the Badlands,Lesley Selander,"Tim Holt, Joan Dixon",Western,RKO
Law of the Panhandle,Lewis D. Collins,"Johnny Mack Brown, Jane Adams",Western,Monogram
The Lawless,Joseph Losey,"Macdonald Carey, Gail Russell",Drama,Paramount
Let's Dance,Norman Z. McLeod,"Betty Hutton, Fred Astaire, Roland Young",Musical comedy,Paramount
A Life of Her Own,George Cukor,"Lana Turner, Ray Milland",Drama,MGM
Lightning Guns,Fred F. Sears,"Charles Starrett, Gloria Henry",Western,Columbia
Lonely Heart Bandits,George Blair,"Barbra Fuller, Dorothy Patrick",Drama,Republic
The Lost Volcano,Ford Beebe,"Johnny Sheffield, Elena Verdugo",Adventure,Monogram
Louisa,Alexander Hall,"Ronald Reagan, Spring Byington",Comedy,Universal. Piper Laurie's film debut
Love Happy,David Miller,"Marx Brothers, Vera-Ellen, Raymond Burr",Comedy,United Artists. Last Marx Brothers film
Love That Brute,Alexander Hall,"Jean Peters, Paul Douglas",Comedy,20th Century Fox
Lucky Losers,William Beaudine,"Leo Gorcey, Huntz Hall, Hillary Brooke",Comedy,Monogram
Ma and Pa Kettle Go to Town,Charles Lamont,"Marjorie Main, Percy Kilbride",Comedy,Universal. 2nd of a series
The Magnificent Yankee,John Sturges,"Louis Calhern, Ann Harding",Biographical,Based on novel Mr. Justice Holmes
The Man Who Cheated Himself,Felix E. Feist,"Lee J. Cobb, Jane Wyatt, John Dall",Film noir,20th Century Fox
Mark of the Gorilla,William Berke,"Johnny Weissmuller, Trudy Marshall, Suzanne Dalbert",Adventure,Columbia
Marshal of Heldorado,Thomas Carr,"James Ellison, Russell Hayden, Julie Adams",Western,Lippert
The Men,Fred Zinnemann,"Marlon Brando, Teresa Wright",War,United Artists. Brando's film debut
Military Academy with That Tenth Avenue Gang,D. Ross Lederman,"Stanley Clements, Danny Welton, Gene Collins","Comedy, drama",Columbia
The Milkman,Charles Barton,"Donald O'Connor, Jimmy Durante, Piper Laurie",Comedy,Universal
The Miniver Story,H. C. Potter,"Greer Garson, Walter Pidgeon, Leo Genn",Drama,MGM. Sequel to Mrs. Miniver
The Missourians,George Blair,"Monte Hale, Lyn Thomas",Western,Republic
Mister 880,Edmund Goulding,"Burt Lancaster, Dorothy McGuire, Edmund Gwenn",Comedy,20th Century Fox
A Modern Marriage,Paul Landres,"Reed Hadley, Margaret Field",Drama,Monogram
Montana,Ray Enright,"Errol Flynn, Alexis Smith",Western,Warner Bros.
Mother Didn't Tell Me,Claude Binyon,"Dorothy McGuire, June Havoc",Comedy,20th Century Fox
Motor Patrol,Sam Newfield,"Don Castle, Jane Nigh, Reed Hadley",Crime,Lippert
Mr. Music,Richard Haydn,"Bing Crosby, Nancy Olson",Drama,Paramount
Mrs. O'Malley and Mr. Malone,Norman Taurog,"Marjorie Main, James Whitmore, Ann Dvorak",Comedy,MGM
The Mudlark,Jean Negulesco,"Irene Dunne, Alec Guinness, Beatrice Campbell",Comedy,20th Century Fox
Mule Train,John English,"Gene Autry, Sheila Ryan",Western,Columbia
